Date,Total Consumption [MWh],Average Consumption [MW],Storage Cycle [MWh]
2015-05-18,1357853.75,56577.24,113031.16
2015-05-19,1427400.0,59475.0,96746.75
2015-05-20,1407627.0,58651.13,88324.0
2015-05-21,1404738.25,58530.76,87713.84
2015-05-22,1384809.0,57700.38,80485.38
2015-05-23,1174635.5,48943.15,47063.46
2015-05-24,1009189.25,42049.55,42706.72
2015-05-25,1026789.75,42782.91,59436.56
2015-05-26,1339738.75,55822.45,117819.53
2015-05-27,1393951.25,58081.3,92547.52
2015-05-28,1402711.25,58446.3,92972.02
2015-05-29,1377329.75,57388.74,86986.39
2015-05-30,1198533.0,49938.88,51545.75
2015-05-31,1066252.0,44427.17,54950.17
2015-06-01,1346838.0,56118.25,107903.75
2015-06-02,1420991.0,59207.96,102009.58
2015-06-03,1411552.25,58814.68,91552.95
2015-06-04,1203321.0,50138.38,49820.13
2015-06-05,1305656.75,54402.36,89783.4
2015-06-06,1185252.75,49385.53,54044.59
2015-06-07,1050309.0,43762.88,51353.13
2015-06-08,1361192.0,56716.33,114194.75
2015-06-09,1412980.0,58874.17,93803.42
2015-06-10,1417457.5,59060.73,93582.54
2015-06-11,1405291.5,58553.81,90417.88
2015-06-12,1399792.75,58324.7,93288.93
2015-06-13,1196021.75,49834.24,52329.89
2015-06-14,1053269.25,43886.22,52537.22
2015-06-15,1343102.0,55962.58,110788.33
2015-06-16,1380389.25,57516.22,91340.19
2015-06-17,1382119.0,57588.29,94133.42
2015-06-18,1398177.0,58257.38,95354.0
2015-06-19,1385644.5,57735.19,91672.56
2015-06-20,1170614.0,48775.58,51718.75
2015-06-21,1063348.5,44306.19,55051.63
2015-06-22,1355860.0,56494.17,108659.25
2015-06-23,1399368.75,58307.03,100223.81
2015-06-24,1418711.25,59112.97,88195.44
2015-06-25,1401480.25,58395.01,89446.85
2015-06-26,1376888.5,57370.35,88852.4
2015-06-27,1190106.75,49587.78,53096.34
2015-06-28,1046028.25,43584.51,52421.6
2015-06-29,1350879.75,56286.66,110262.81
2015-06-30,1381133.0,57547.21,96020.58
2015-07-01,1416936.25,59039.01,104049.6
2015-07-02,1460936.75,60872.36,94609.15
2015-07-03,1436452.25,59852.18,87607.45
2015-07-04,1229788.25,51241.18,51040.27
2015-07-05,1102926.5,45955.27,50856.46
2015-07-06,1397078.5,58211.6,108754.04
2015-07-07,1436729.0,59863.71,97015.83
2015-07-08,1438955.0,59956.46,90705.04
2015-07-09,1411790.75,58824.61,90786.15
2015-07-10,1381668.5,57569.52,84415.48
2015-07-11,1180277.25,49178.22,51135.66
2015-07-12,1079286.5,44970.27,54646.46
2015-07-13,1376170.5,57340.44,112605.69
2015-07-14,1420683.5,59195.15,98026.21
2015-07-15,1418424.25,59101.01,93954.35
2015-07-16,1422160.75,59256.7,94271.98
2015-07-17,1415314.5,58971.44,91231.06
2015-07-18,1188036.75,49501.53,51370.56
2015-07-19,1071236.75,44634.86,51170.15
2015-07-20,1362711.0,56779.63,111660.88
2015-07-21,1429987.25,59582.8,97945.27
2015-07-22,1437182.25,59882.59,95595.78
2015-07-23,1407971.0,58665.46,89448.54
2015-07-24,1382714.75,57613.11,86228.01
2015-07-25,1215165.5,50631.9,54304.35
2015-07-26,1056876.0,44036.5,46425.0
2015-07-27,1339991.75,55832.99,113525.41
2015-07-28,1389166.5,57881.94,94424.13
2015-07-29,1377066.75,57377.78,91618.81
2015-07-30,1378703.5,57445.98,89798.79
2015-07-31,1338728.5,55780.35,82822.65
2015-08-01,1149420.25,47892.51,49769.11
2015-08-02,1036457.25,43185.72,52041.19
2015-08-03,1330233.25,55426.39,108610.72
2015-08-04,1379297.75,57470.74,92753.65
2015-08-05,1357195.0,56549.79,86571.17
2015-08-06,1382620.25,57609.18,90118.09
2015-08-07,1364357.0,56848.21,85237.54
2015-08-08,1197709.5,49904.56,52236.19
2015-08-09,1075023.5,44792.65,50881.46
2015-08-10,1340744.25,55864.34,104597.84
2015-08-11,1389188.25,57882.84,92542.44
2015-08-12,1386242.0,57760.08,90770.5
2015-08-13,1392255.5,58010.65,88474.56
2015-08-14,1375985.75,57332.74,81516.39
2015-08-15,1164553.0,48523.04,45660.71
2015-08-16,1062050.75,44252.11,51259.4
2015-08-17,1337314.25,55721.43,109635.34
2015-08-18,1362892.5,56787.19,90277.69
2015-08-19,1355480.5,56478.35,87867.94
2015-08-20,1362820.75,56784.2,88889.53
2015-08-21,1345948.5,56081.19,81665.81
2015-08-22,1165370.0,48557.08,49245.25
2015-08-23,1065825.25,44409.39,55178.35
2015-08-24,1363440.25,56810.01,110992.84
2015-08-25,1408977.5,58707.4,91936.71
2015-08-26,1409983.25,58749.3,91742.97
2015-08-27,1417734.5,59072.27,90492.96
2015-08-28,1383411.75,57642.16,86483.31
2015-08-29,1185643.25,49401.8,49437.27
2015-08-30,1074759.75,44781.66,55320.06
2015-08-31,1383816.0,57659.0,111960.25
2015-09-01,1436152.0,59839.67,93488.67
2015-09-02,1411660.25,58819.18,86814.02
2015-09-03,1400582.5,58357.6,88264.94
2015-09-04,1386105.0,57754.38,87787.0
2015-09-05,1199391.75,49974.66,52287.81
2015-09-06,1097559.25,45731.64,57493.1
2015-09-07,1370730.5,57113.77,115401.44
2015-09-08,1413829.5,58909.56,92525.56
2015-09-09,1402340.75,58430.86,88782.53
2015-09-10,1403722.75,58488.45,88665.28
2015-09-11,1395698.25,58154.09,84242.94
2015-09-12,1207437.25,50309.89,51690.22
2015-09-13,1090919.5,45454.98,57573.54
2015-09-14,1394987.75,58124.49,113654.66
2015-09-15,1447454.25,60310.59,91905.09
2015-09-16,1448439.25,60351.64,96813.47
2015-09-17,1460035.25,60834.8,95701.27
2015-09-18,1405922.5,58580.1,85084.94
2015-09-19,1197264.5,49886.02,50604.96
2015-09-20,1088798.0,45366.58,59396.33
2015-09-21,1379044.25,57460.18,114396.09
2015-09-22,1434182.0,59757.58,97165.08
2015-09-23,1434261.25,59760.89,96876.6
2015-09-24,1433254.5,59718.94,91792.13
2015-09-25,1416702.25,59029.26,87001.84
2015-09-26,1223318.75,50971.61,52851.4
2015-09-27,1093482.25,45561.76,58963.11
2015-09-28,1395918.5,58163.27,111693.92
2015-09-29,1443446.75,60143.61,93537.28
2015-09-30,1439700.5,59987.52,86953.92
2015-10-01,1412704.0,58862.67,79177.33
2015-10-02,1392669.75,58027.91,74487.91
2015-10-03,1115894.5,46495.6,36832.75
2015-10-04,1077180.75,44882.53,55086.56
2015-10-05,1368617.25,57025.72,108072.0
2015-10-06,1461388.0,60891.17,100548.92
2015-10-07,1456534.5,60688.94,96146.13
2015-10-08,1451348.75,60472.86,96282.4
2015-10-09,1426228.0,59426.17,88395.17
2015-10-10,1218387.75,50766.16,46992.16
2015-10-11,1109625.5,46234.4,48141.25
2015-10-12,1409169.5,58715.4,104458.67
2015-10-13,1488269.5,62011.23,97213.31
2015-10-14,1523349.0,63472.88,100223.5
2015-10-15,1521066.25,63377.76,100936.35
2015-10-16,1491092.25,62128.84,92545.94
2015-10-17,1270230.5,52926.27,52214.46
2015-10-18,1154324.75,48096.86,54859.9
2015-10-19,1448306.25,60346.09,114463.09
2015-10-20,1490791.0,62116.29,96113.17
2015-10-21,1485907.25,61912.8,92456.47
2015-10-22,1495185.75,62299.41,91060.41
2015-10-23,1460319.0,60846.63,81571.75
2015-10-24,1255969.0,52332.04,46913.42
2015-10-25,1197679.75,49903.32,34124.63
2015-10-26,1425916.25,59413.18,109247.92
2015-10-27,1483227.0,61801.13,89882.13
2015-10-28,1494699.5,62279.15,92811.46
2015-10-29,1487907.25,61996.14,94484.6
2015-10-30,1468456.25,61185.68,90390.77
2015-10-31,1238422.5,51600.94,44053.63
2015-11-01,1143012.75,47625.53,52851.84
2015-11-02,1444878.0,60203.25,114807.75
2015-11-03,1501741.75,62572.57,93299.48
2015-11-04,1502692.75,62612.2,91126.98
2015-11-05,1481089.0,61712.04,90121.92
2015-11-06,1466461.75,61102.57,88108.98
2015-11-07,1276977.5,53207.4,61067.71
2015-11-08,1148610.5,47858.77,56378.96
2015-11-09,1467886.0,61161.92,124515.25
